N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
1,Schaltschrankleuchte,-1F4,63A/16A,2.5,E-308-EG-01,-1Q02,NH00/63A,16,E-308-EG-01,-1Q02,NH00/63A,16
1,E-308-EG-01,-1Q02,NH00/63A,16,E-308-1.OG-01,-1Q03,NH00/63A,16,E-308-1.OG-01,-1Q03,NH00/63A,16
1,E-308-1.OG-01,-1Q03,NH00/63A,16,E-308-2.OG-01,-1Q04,NH00/63A,16,E-308-2.OG-01,-1Q04,NH00/63A,16
1,E-308-2.OG-01,-1Q04,NH00/63A,16,E-308-3.OG-01,-1Q05,NH00/63A,16,E-308-3.OG-01,-1Q05,NH00/63A,16
1,E-308-3.OG-01,-1Q05,NH00/63A,16,E-308-4.OG-01,-1Q06,NH00/63A,16,E-308-4.OG-01,-1Q06,NH00/63A,16
1,E-308-4.OG-01,-1Q06,NH00/63A,16,Schrank Pumensteuerung,-1Q07,NH00/63A,1,Schrank Pumensteuerung,-1Q07,NH00/63A,1
1,Schrank Pumensteuerung,-1Q07,NH00/63A,1,UV- Kantine E-308-EG-03,-1Q08,NH00/63A,16,UV- Kantine E-308-EG-03,-1Q08,NH00/63A,16
1,UV- Kantine E-308-EG-03,-1Q08,NH00/63A,16,UV-Pförtner E-Pforte-EG-01,-1Q09,NH00/100A,25,UV-Pförtner E-Pforte-EG-01,-1Q09,NH00/100A,25
1,UV-Pförtner E-Pforte-EG-01,-1Q09,NH00/100A,25,H308-Heizungsnetz H-308-HW-01,-1Q10,NH00/63A,1,H308-Heizungsnetz H-308-HW-01,-1Q10,NH00/63A,1
1,H308-Heizungsnetz H-308-HW-01,-1Q10,NH00/63A,1,Haupteingang Steckdosen Verteiler + Ladesäule E-Auto ,-1Q11,NH00/80A,1,Haupteingang Steckdosen Verteiler + Ladesäule E-Auto ,-1Q11,NH00/80A,1
1,Haupteingang Steckdosen Verteiler + Ladesäule E-Auto ,-1Q11,NH00/80A,1,Schleuse 008,-2F2,10AB,1.5,Technik 001,-2F3,10AB,1.5
1,Reserve A-Box 308 EG Ehm Telefonzelle,-2F1,10AB,1.5,Taster örtlich,-2F2,10AB,1.5,Notbeleuchtung,-2F6,10AB,1.5
1,Schleuse 004  ,-2F4,10AB,1.5,Anschlußgas 002,-2F5,10AB,1.5,RWA Ost,-2F9,10AB,1.5
1,Taster örtlich,-2F4,10AB,1.5,RWA West,-2F8,10AB,1.5,HWA Raum,-2F12,16AB,2.5
1,Enthärter ,-2F7,10AB,1.5,GHV 009 Aufzeichnungsgerät,-2F11,16AB,2.5,Steuerspg-Heizungsschrank,-2F20,16AB,2.5
1,Technik 001,-2F10,16AB,2.5,UV-Raum Schleuse ,-2F19,16AB,2.5,Siedle Sprachanlage,-2F14,16AB,2.5
1,Relaisschrank,-2F13,10AB,1.5,Siedle Sprachanlage,-2F14,16AB,2.5,Tauchpumpe,-2F15,16AB,2.5
1,Siedle Sprachanlage,-2F14,16AB,2.5,Tauchpumpe,-2F15,16AB,2.5,,,,
1,Tauchpumpe ,-2F15,16AB,2.5,,,,,,,,
,,,,,,,,,,,,
2,Flur,0,10AB,"1,5",Kiosk 004,#VALUE!,10AB,1.5,Eingang Foyer Seile,#VALUE!,10AB,1.5
2,Taster örtlich,0,10AB,"1,5","Vorraum WC-D 009,010",#VALUE!,10AB,1.5,Flur,#VALUE!,10AB,1.5
2,3,#VALUE!,10AB,1.5,"Vorraum WC-H 012,013",#VALUE!,10AB,1.5,Taster örtlich,#VALUE!,10AB,1.5
2,"Vorraum WC-H 014,015",#VALUE!,10AB,1.5,"26,023",#VALUE!,10AB,1.5,Layer 002,#VALUE!,10AB,1.5
2,27,#VALUE!,10AB,1.5,"Umkld. , Dusche , WC 014,019",#VALUE!,10AB,1.5,Flur,#VALUE!,10AB,1.5
2,Büro 002,#VALUE!,10AB,1.5,Reserve,#VALUE!,10AB,1.5,Taster örtlich,#VALUE!,10AB,1.5
2,Taster örtlich,#VALUE!,10AB,1.5,BMZ-Versorgung,#VALUE!,10AB,1.5,"Umkld. , Dusche , WC 014,019",#VALUE!,10AB,1.5
2,Notbeleuchtung,#VALUE!,10AB,1.5,Händetrockner,#VALUE!,10AB,1.5,Not Flur Küche,#VALUE!,10AB,1.5
2,EDV Steckd. Verteilung bei UV-EG-01,#VALUE!,10AB,1.5,Kiosk 004 & Putzstkd,#VALUE!,16AB,2.5,Behindderten WC & Rufanlage,0,16AB,2.5
2,Vorraum WC-H 015 & Vorraum WC-D 015,0,16AB,2.5,Flur 001 Putzsteckd.,-26023,16AB,2.5,AE Kiosk 004,#VALUE!,16AB,2.5
2,Layer 002 & Putzsteckd.,#VALUE!,16AB,2.5,EDV D11,#VALUE!,16AB,2.5,"Büro 023,026,027 & Putzsteckd.",#VALUE!,16AB,2.5
2,"AE Büro 023,026,027 Foyer",#VALUE!,16AB,2.5,Foyerzimmer West ,#VALUE!,16AB,2.5,Reserve,#VALUE!,16AB,2.5
2,Foyerzimmer Ost(Pförtner),#VALUE!,16AB,2.5,Foyer A Rest Zimmer West,#VALUE!,16AB,2.5,Foyerzimmer Ost(Pförtner),#VALUE!,16AB,2.5
2,Urinale WC-H 006,#VALUE!,16AB,2.5,Verkaufautomaten Kiosk + Türschließanlage,0,16AB,2.5,Reserve ,#VALUE!,16AB,2.5
2,Reserve ,#VALUE!,16AB,2.5,Verkaufautomaten Kiosk,#VALUE!,16AB,2.5,Verkaufautomaten Kiosk,0,16AB,2.5
2,Verkaufautomaten Kiosk,0,16AB,2.5,,,,,Verkaufautomaten Kiosk,#VALUE!,16AB,2.5
2,Verkaufautomaten Kiosk,0,16AB,2.5,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
